country,2016,2017,ICU/100000,population,ICU,ventilators
Turkey,2.75,2.81,47.1,83154997,39166.003587,17000
United States,2.77,,34.7,329556365,114356.058655,177000
Germany,8.06,8,29.2,83149300,24279.5956,25000
Luxembourg,4.81,4.66,24.8,613894,152.245712,
Austria,7.42,7.37,21.8,8902600,1940.7668,2500
Belgium,5.76,5.76,15.9,11524454,1832.388186,
Lithuania,6.69,6.56,15.5,2793471,432.988005,1000
Estonia,4.76,4.69,14.6,1328360,193.94056,
Hungary,7,7.02,13.8,9772756,1348.640328,15500
Canada,2.58,2.52,13.5,37979093,5127.177555,
Italy,3.17,3.18,12.5,60243406,7530.42575,3000
Czechia,6.66,6.63,11.6,10693939,1240.496924,3529
France,6.06,5.98,11.6,67076000,7780.816,30000
Switzerland,4.55,4.53,11.0,8586550,944.5205,
"Korea, South",11.98,12.27,10.6,51780579,5488.741374,9795
Latvia,5.72,5.57,9.7,1906800,184.9596,
Spain,2.97,2.97,9.7,47100396,4568.738412,
Slovakia,5.78,5.82,9.2,5456362,501.985304,600
Australia,3.84,,9.1,25665337,2335.545667,1314
Iceland,3.13,3.06,9.1,364260,33.14766,
Russia,8.16,8.05,8.3,146745098,12179.843134,40000
Norway,3.68,3.6,8,5367580,429.4064,800
Japan,13.11,13.05,7.3,125950000,9194.35,32586
Hong Kong,,,7.1,7500700,532.5497,
Poland,6.64,6.62,6.9,38379000,2648.151,10100
Denmark,2.6,2.61,6.7,5822763,390.125121,
United Kingdom,2.57,2.54,6.6,66435550,4384.7463,5000
Ireland,2.97,2.96,6.5,4921500,319.8975,
Slovenia,4.49,4.5,6.4,2094060,134.01984,
Netherlands,3.44,3.32,6.4,17451031,1116.865984,
Finland,3.97,3.28,6.1,5527573,337.181953,
Greece,4.2,4.21,6,10724599,643.47594,
Sweden,2.34,2.22,5.8,10333456,599.340448,
India,0.48,0.53,5.2,1360537008,70747.924416,
Portugal,3.39,3.39,4.2,10276617,431.617914,1400
China,4.05,4.34,3.6,1402030160,50473.08576,
Mexico,1.39,1.38,1.2,126577691,1518.932292,2050
Israel,2.99,3.02,,9180000,,
New Zealand,2.73,2.71,,,,520
Chile,2.12,2.11,,,,
Colombia,1.68,1.7,,,,
Iran,,,,83331064,,
Brazil,,,,211336713,,
