province,V1
"",9172
Taiwan,45
"King County, WA",83
"Cook County, IL",7
Macau,10
Hong Kong,115
British Columbia,32
"Los Angeles, CA",14
New South Wales,48
Victoria,15
Queensland,15
South Australia,7
"San Benito, CA",2
"Madison, WI",1
"San Diego County, CA",3
"San Antonio, TX",1
"Omaha, NE (From Diamond Princess)",11
"Travis, CA (From Diamond Princess)",5
From Diamond Princess,8
"Lackland, TX (From Diamond Princess)",2
"Humboldt County, CA",1
"Sacramento County, CA",2
Unassigned Location (From Diamond Princess),45
Western Australia,4
"Snohomish County, WA",31
Tasmania,2
"Grafton County, NH",4
"Hillsborough, FL",2
"Placer County, CA",7
"San Mateo, CA",2
"Sarasota, FL",1
"Sonoma County, CA",3
"Umatilla, OR",1
"Fulton County, GA",5
"Washington County, OR",8
" Norfolk County, MA",6
"Maricopa County, AZ",3
"Wake County, NC",1
"Westchester County, NY",98
"Orange County, CA",4
Northern Territory,1
"Contra Costa County, CA",12
"Bergen County, NJ",4
"Harris County, TX",6
"San Francisco County, CA",9
"Clark County, NV",2
"Fort Bend County, TX",6
"Grant County, WA",1
"Santa Rosa County, FL",1
"Williamson County, TN",1
"New York County, NY",19
"Unassigned Location, WA",5
"Montgomery County, MD",4
"Suffolk County, MA",8
"Denver County, CO",2
"Summit County, CO",2
"Chatham County, NC",1
"Delaware County, PA",1
"Douglas County, NE",3
"Fayette County, KY",1
"Marion County, IN",1
"Middlesex County, MA",7
"Nassau County, NY",17
"Ramsey County, MN",1
"Washoe County, NV",2
"Wayne County, PA",1
"Yolo County, CA",1
"Santa Clara County, CA",38
Grand Princess Cruise Ship,21
"Douglas County, CO",3
"Providence County, RI",3
"Alameda County, CA",2
"Broward County, FL",3
"Fairfield County, CT",2
"Lee County, FL",2
"Pinal County, AZ",2
"Rockland County, NY",4
"Saratoga County, NY",2
"Charleston County, SC",1
"Clark County, WA",1
"Cobb County, GA",3
"Davis County, UT",1
"El Paso County, CO",1
"Honolulu County, HI",2
"Jackson County, OR ",2
"Jefferson County, WA",1
"Kershaw County, SC",4
"Klamath County, OR",1
"Madera County, CA",1
"Pierce County, WA",4
"Plymouth County, MA",1
"Tulsa County, OK",1
"Montgomery County, TX",0
"Montgomery County, PA",5
"Fairfax County, VA",2
"Rockingham County, NH",2
"Washington, D.C.",2
"Berkshire County, MA",1
"Davidson County, TN",1
"Douglas County, OR",1
"Fresno County, CA",1
"Harford County, MD",1
"Hendricks County, IN",2
"Hudson County, NJ",1
"Johnson County, KS",1
"Kittitas County, WA",1
"Manatee County, FL",2
"Marion County, OR",1
"Okaloosa County, FL",1
"Polk County, GA",2
"Riverside County, CA",1
"Shelby County, TN",1
"Spokane County, WA",1
"St. Louis County, MO",1
"Suffolk County, NY",1
"Ulster County, NY",1
"Unknown Location, MA",1
"Volusia County, FL",1
Ontario,34
Alberta,7
Quebec,4
"Johnson County, IA",3
"Harrison County, KY",2
"Bennington County, VT",1
"Carver County, MN",1
"Charlotte County, FL",1
"Cherokee County, GA",1
"Collin County, TX",1
"Jefferson County, KY",1
"Jefferson Parish, LA",1
"Shasta County, CA",1
"Spartanburg County, SC",1
