name,id,source,Related ID,complete,host,date,loc,Originating Lab,Submission Date,Submitting Lab
BetaCoV/Italy/CDG1/2020,EPI_ISL_412973,GISAID,,Complete,Homo Sapiens,2020-02-20,Italy / Lombardy,"Department of Infectious Diseases, Istituto Superiore di Sanità, Roma , Italy",2020-03-01,"Virology Laboratory, Scientific Department, Army Medical Center"
BetaCoV/Mexico/CDMX/InDRE_01/2020,EPI_ISL_412972,GISAID,,Complete,Homo Sapiens,2020-02-27,Mexico / Mexico City,Instituto Nacional de Enfermedades Respiratorias,2020-03-01,Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)
BetaCoV/Italy/SPL1/2020,EPI_ISL_412974,GISAID,,Complete,Homo Sapiens,2020-01-29,Italy / Rome,"Department of Infectious Diseases, Istituto Superiore di Sanità, Rome, Italy",2020-03-01,"Virology Laboratory, Scientific Department, Army Medical Center"
BetaCoV/Australia/NSW05/2020,EPI_ISL_412975,GISAID,,Complete,Homo Sapiens,2020-02-28,Australia / New South Wales / Sydney,Centre for Infectious Diseases and Microbiology Laboratory Services,2020-03-02,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney
BetaCoV/Finland/FIN-25/2020,EPI_ISL_412971,GISAID,,Complete/multiple gaps,Homo Sapiens,2020-02-25,Finland / Helsinki,"HUS Diagnostiikkakeskus, Hallinto",2020-03-01,"Department of Virology Faculty of Medicine, Medicum University of Helsinki"
BetaCoV/USA/WA2/2020,EPI_ISL_412970,GISAID,,Complete,Homo Sapiens,2020-02-24,United States / Washington / Snohomish County,Washington State Department of Health,2020-03-01,Seattle Flu Study
SARS-CoV-2/IQTC02/human/2020/CHN,MT123291,GenBank,EPI_ISL_412967,Complete,Homo sapiens,2020-01-29,China / Guangdong / Guangzhou,,2020-02-28,"Technology Centre, Guangzhou Customs"
SARS-CoV-2/IQTC01/human/2020/CHN,MT123290,GenBank,EPI_ISL_412966,Complete,Homo sapiens,2020-02-05,China / Guangdong / Guangzhou,,2020-02-27,"Technology Centre, Guangzhou Customs"
SARS-CoV-2/Hu/DP/Kng/19-027,LC528233,GenBank,EPI_ISL_412969,Complete,Homo sapiens,2020-02-10,Japan / Kanagawa,,2020-02-26,"Takayuki Hishiki Kanagawa Prefectural Institute of Public Health, Department of Microbiology, Kanagawa, Japan"
SARS-CoV-2/Hu/DP/Kng/19-020,LC528232,GenBank,EPI_ISL_412968,Complete,Homo sapiens,2020-02-10,Japan / Kanagawa,,2020-02-26,"Takayuki Hishiki Kanagawa Prefectural Institute of Public Health, Department of Microbiology, Kanagawa, Japan"
BetaCoV/Canada/BC_37_0-2/2020,EPI_ISL_412965,GISAID,,Complete/high number of Ns,Homo sapiens,2020-02-16,Canada / British Columbia,BCCDC Public Health Laboratory,2020-02-29,BCCDC Public Health Laboratory
2019-nCoV/USA-CA9/2020,MT118835,GenBank,EPI_ISL_412862,Complete,Homo sapiens,2020-02-23,United States / California / Solano,,2020-02-27,"Division of Viral Diseases, Centers for Disease Control and Prevention"
BetaCoV/Korea/KCDC24/2020,EPI_ISL_412873,GISAID,,Complete,Homo sapiens,2020-02-06,South Korea / Chungcheongnam-do,"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention",2020-02-28,"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"
BetaCoV/Korea/KCDC12/2020,EPI_ISL_412872,GISAID,,Complete,Homo sapiens,2020-02-01,South Korea / Gyeonggi-do,"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention",2020-02-28,"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"
BetaCoV/Korea/KCDC07/2020,EPI_ISL_412871,GISAID,,Complete,Homo sapiens,2020-01-31,South Korea / Seoul,"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention",2020-02-28,"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"
BetaCoV/Korea/KCDC06/2020,EPI_ISL_412870,GISAID,,Complete,Homo sapiens,2020-01-30,South Korea/ Seoul,"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention",2020-02-28,"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"
BetaCoV/Korea/KCDC05/2020,EPI_ISL_412869,GISAID,,Complete,Homo sapiens,2020-01-30,South Korea /Seoul,"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention",2020-02-28,"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"
BetaCoV/pangolin/China/MP789/2019,EPI_ISL_412860,GISAID,,Partial/scaffold level,Manis javanica,2019-03-19,China,,2020-02-27,"SCSFRI, South China Sea Fisheries Research Institute, Chinese Academy of Fishery Sciences (SCSFRI, CAFS)"
